extracted,words,segments_equiv,chunk_count,has_segment_ledger,twin_certified,needs_reread,bucket
play_bigger_ramadan_lochhead.txt,81161,13,6,no,no,yes,chunked_not_certified
competing_against_luck_christensen.txt,83793,13,5,no,no,yes,chunked_not_certified
thucydides_peloponnesian_war.txt,352171,53,6,no,no,yes,chunked_not_certified
arrian_campaigns_of_alexander.txt,132066,20,4,no,no,yes,chunked_not_certified
engels_macedonian_logistics.txt,75417,12,3,no,no,yes,chunked_not_certified
herodotus_histories.txt,437833,66,5,no,no,yes,chunked_not_certified
predictably_irrational_ariely.txt,107956,17,15,no,no,yes,chunked_not_certified
the_intelligent_investor_graham.txt,45067,7,3,no,no,yes,chunked_not_certified
the_snowball_schroeder.txt,411944,62,3,no,no,yes,chunked_not_certified
the_lords_of_easy_money_leonard.txt,123219,19,3,no,no,yes,chunked_not_certified
security_analysis_graham_dodd.txt,391811,59,5,no,no,yes,chunked_not_certified
margin_of_safety_klarman.txt,72828,11,4,no,no,yes,chunked_not_certified
the_sovereign_individual_davidson.txt,160083,24,3,no,no,yes,chunked_not_certified
mastering_the_market_cycle_marks.txt,83674,13,3,no,no,yes,chunked_not_certified
the_new_tycoons_kelly.txt,80069,12,3,no,no,yes,chunked_not_certified
value_based_fees_weiss.txt,81605,13,2,no,no,yes,chunked_not_certified
getting_naked_lencioni.txt,47421,8,2,no,no,yes,chunked_not_certified
flawless_consulting_block.txt,107028,16,2,no,no,yes,chunked_not_certified
million_dollar_consulting_weiss.txt,143350,22,3,no,no,yes,chunked_not_certified
the_advantage_lencioni.txt,58648,9,2,no,no,yes,chunked_not_certified
managing_the_professional_service_firm_maister.txt,126173,19,2,yes,no,no,coverage_proven
the_mckinsey_way_rasiel.txt,42414,7,2,no,no,yes,chunked_not_certified
visual_story_block.txt,61118,10,3,no,no,yes,chunked_not_certified
anatomy_of_story_truby.txt,126225,19,5,no,no,yes,chunked_not_certified
hero_with_a_thousand_faces_campbell.txt,142097,22,4,no,no,yes,chunked_not_certified
save_the_cat_snyder.txt,59787,9,3,no,no,yes,chunked_not_certified
lean_startup_ries.txt,84808,13,5,no,no,yes,chunked_not_certified
hard_thing_horowitz.txt,78703,12,5,no,no,yes,chunked_not_certified
founders_dilemmas_wasserman.txt,145096,22,5,no,no,yes,chunked_not_certified
true_believer_hoffer.txt,48694,8,3,no,no,yes,chunked_not_certified
coddling_lukianoff_haidt.txt,119516,18,4,no,no,yes,chunked_not_certified
the_crowd_lebon.txt,56662,9,2,no,no,yes,chunked_not_certified
