slug,title,author,domain,words,segments,chunks,cited_by_doctrine,status
briefmonthlyconstraintaudit,Monthly Constraint Audit · template,BJ / SNIPED Media,operator-process,982,1,2,no,provisional_chunked
briefweeklyreview,Weekly Review · template,BJ / SNIPED Media,operator-process,652,1,1,no,provisional_chunked
productioncastingcalldoctrinev1,Casting Call Doctrine v1,BJ / SNIPED Media,production-sop,2738,1,4,no,provisional_chunked
productionch02mimiproductionbriefv1,CH02 Mimi Production Brief v1,BJ / SNIPED Media,production-sop,1312,1,2,no,provisional_chunked
productionchapterintakev1,Chapter Intake v1,BJ / SNIPED Media,production-sop,2075,1,3,no,provisional_chunked
productionchecklistpostshootsameday,Post-Shoot Same-Day Checklist,BJ / SNIPED Media,production-sop,856,1,1,no,provisional_chunked
productionchecklistpreshootdayof,Pre-Shoot Day-Of Checklist,BJ / SNIPED Media,production-sop,1060,1,1,no,provisional_chunked
productioncompositeenvironmentrotationv1,Composite Environment Rotation v1 · LOCKED 2026-05-12,BJ / SNIPED Media,aesthetics,2614,1,3,no,provisional_chunked
productionlightroomoperatingsystem,Lightroom Operating System · v3 LUXURY supersession header,BJ / SNIPED Media,production-sop,2907,1,4,no,provisional_chunked
productionpresetlibrary,Preset Library · v3 LUXURY locked + 6 secondary presets,BJ / SNIPED Media,aesthetics,1489,1,2,no,provisional_chunked
productionretouchertrainingnotes,Retoucher Training Notes · the operator-engine handoff,BJ / SNIPED Media,production-sop,1534,1,2,no,provisional_chunked
productionsopcapturetodelivery,SOP Capture-to-Delivery · the end-to-end shoot SOP,BJ / SNIPED Media,production-sop,1598,1,2,no,provisional_chunked
productionsopresetshootday,SOP Reset Shoot Day,BJ / SNIPED Media,production-sop,1331,1,1,no,provisional_chunked
productionsopstrategicfree,SOP Strategic Free,BJ / SNIPED Media,production-sop,1636,1,1,no,provisional_chunked
productiontrackbframewalkthrough,Track B Frame Walkthrough · compositing pipeline,BJ / SNIPED Media,aesthetics,2815,1,3,no,provisional_chunked
outreachlinkedincommentdoctrinev1,LinkedIn Comment Doctrine v1 · LOCKED 2026-05-12,BJ / SNIPED Media,outreach-sop,1075,1,2,no,provisional_chunked
outreachsopassistant,SOP SNIPED Assistant v3 · role + scope,BJ / SNIPED Media,outreach-sop,3098,1,5,no,provisional_chunked
outreachsopdiscoverycall,SOP Discovery Call,BJ / SNIPED Media,outreach-sop,1281,1,2,no,provisional_chunked
outreachsopdiscoverytoclose,SOP Discovery-to-Close,BJ / SNIPED Media,outreach-sop,1298,1,2,no,provisional_chunked
outreachsopvibproduction,SOP VIB Production,BJ / SNIPED Media,outreach-sop,1034,1,1,no,provisional_chunked
outreachvibcaptionlibrary,VIB Caption Library · DM caption templates,BJ / SNIPED Media,outreach-sop,1377,1,2,no,provisional_chunked
outreachvibfigmaspec,VIB Figma Spec · the locked template,BJ / SNIPED Media,outreach-sop,1017,1,2,no,provisional_chunked
deliverysoppostdelivery,SOP Post-Delivery,BJ / SNIPED Media,delivery-sop,1597,1,2,no,provisional_chunked
deliverypixiesetconfig,Pixieset Config,BJ / SNIPED Media,delivery-sop,1054,1,2,no,provisional_chunked
deliveryemail01preshootbrief,Email · Pre-shoot brief,BJ / SNIPED Media,delivery-sop,386,1,1,no,provisional_chunked
deliveryemail02day0delivery,Email · Day 0 delivery,BJ / SNIPED Media,delivery-sop,367,1,1,no,provisional_chunked
deliveryemail03day7testimonial,Email · Day 7 testimonial,BJ / SNIPED Media,delivery-sop,342,1,1,no,provisional_chunked
deliveryemail04day19windowclosing,Email · Day 19 window closing,BJ / SNIPED Media,delivery-sop,253,1,1,no,provisional_chunked
deliveryemail05day30opkitpitch,Email · Day 30 Op Kit pitch,BJ / SNIPED Media,delivery-sop,658,1,1,no,provisional_chunked
deliveryemail06day90reengagement,Email · Day 90 reengagement,BJ / SNIPED Media,delivery-sop,357,1,1,no,provisional_chunked
deliveryemail07referralask,Email · Referral ask (Day 30-45),BJ / SNIPED Media,delivery-sop,454,1,1,no,provisional_chunked
deliveryemail08bookingconfirmation,Email · Booking confirmation,BJ / SNIPED Media,delivery-sop,384,1,1,no,provisional_chunked
deliveryemail09noshoworlatefollowup,Email · No-show or late followup,BJ / SNIPED Media,delivery-sop,307,1,1,no,provisional_chunked
contentaudienceengine,Audience Engine · operating doctrine,BJ / SNIPED Media,content-strategy,3813,1,4,no,provisional_chunked
contentcaptiontemplates,Caption Templates,BJ / SNIPED Media,content-strategy,1473,1,2,no,provisional_chunked
contentculturaldocumentationthesis,Cultural Documentation Thesis,BJ / SNIPED Media,content-strategy,1615,1,2,no,provisional_chunked
contenthooklibrary,Hook Library,BJ / SNIPED Media,content-strategy,1255,1,2,no,provisional_chunked
contentlinkedinpovbank,LinkedIn POV Bank · structure,BJ / SNIPED Media,content-strategy,3188,1,4,no,provisional_chunked
contentsnipedvideophilosophy,SNIPED Video Philosophy · what it IS NOT,BJ / SNIPED Media,content-strategy,4675,1,5,no,provisional_chunked
offersdeliveryarchitecturev2,Delivery Architecture v2 · LOCKED,BJ / SNIPED Media,commercial-architecture,2624,1,3,no,provisional_chunked
crmnotioncrmschemas,Notion CRM Schemas,BJ / SNIPED Media,commercial-architecture,2017,1,2,no,provisional_chunked
networkaccessandcommunityarchitecture,Access + Community Architecture,BJ / SNIPED Media,commercial-architecture,1763,1,2,no,provisional_chunked
opphopperbizcase,Opportunity Hopper + Business Case · The AI Edge,The AI Edge (course templates),operator-process,1936,1,2,no,provisional_chunked
opportunitycardexample,Opportunity Card template · The AI Edge,The AI Edge (course templates),operator-process,416,1,2,no,provisional_chunked
aiphonecallassistant,n8n Automation Systems · cross-workflow pattern,The AI Edge (n8n workflow temp,automation-blueprint,287,1,5,no,provisional_chunked
n8nretellai,n8n Automation Systems · cross-workflow pattern,The AI Edge (n8n workflow temp,automation-blueprint,370,1,6,no,provisional_chunked
masterpromptagentchatinput,n8n Automation Systems · cross-workflow pattern,The AI Edge (n8n workflow temp,automation-blueprint,227,1,3,no,provisional_chunked
masterpromptagentformsubmission,Master Prompt Agent (Form Submission) · n8n workflow (The AI,The AI Edge (n8n workflow temp,automation-blueprint,189,1,2,no,provisional_chunked
promptwritingagentdeepreasoning,Prompt Writing Agent (Deep Reasoning + Normal tiers) · n8n w,The AI Edge (n8n workflow temp,automation-blueprint,329,1,2,no,provisional_chunked
asamanthinkethallen,As a Man Thinketh · James Allen,James Allen,operator-doctrine,7584,2,5,no,provisional_chunked
theprophetgibran,The Prophet · Kahlil Gibran,Kahlil Gibran,operator-doctrine,12924,2,4,no,provisional_chunked
shorenatureofphotographs,The Nature Of Photographs,Stephen Shore,photography-theory,7333,2,8,no,provisional_chunked
ablohcorestudiolecture,Insert Complicated Title Here · Core Studio Public Lecture,Virgil Abloh,aesthetics,10287,2,3,no,provisional_chunked
100qauditoptimizations,100Q Audit Optimizations · 2026-05-13,BJ / SNIPED Media,operational-locks,8932,2,22,no,provisional_chunked
strategicprinciples,Strategic Principles · Permanent Intelligence Layer,BJ / SNIPED Media,doctrine-meta,10561,2,12,no,provisional_chunked
snipedosv1synthesis,SNIPED OS v1 · Repository-Wide Synthesis,BJ / SNIPED Media,operational-locks,10184,2,19,no,provisional_chunked
offerstackfull,The Offer Stack · Parts VIII-XIII,BJ / SNIPED Media (Stack serie,brand-psychology,12718,2,10,no,provisional_chunked
platformstackfull,The Platform Stack · Parts VII-XIII,BJ / SNIPED Media (Stack serie,meta-architecture,13210,2,12,no,provisional_chunked
intakeclaudecodesuperpowers,Claude Code · Superpowers plugin,The AI Edge community (third-p,ai-tooling,8800,2,2,no,provisional_chunked
intakebuiltanaisaasin20min,Built an AI SaaS in 20 min · Claude Code + n8n,The AI Edge community (third-p,ai-tooling,11544,2,2,no,provisional_chunked
theclaudestack,"The Claude Stack (Stack series, Vol. V)",SNIPED (operator-authored),strategy,13253,2,8,no,provisional_chunked
contentsnipedcontentphilosophy,SNIPED Content Philosophy · what SNIPED IS NOT,BJ / SNIPED Media,content-strategy,7937,2,7,no,provisional_chunked
jonathanlivingstonseagullbach,Jonathan Livingston Seagull,Richard Bach,operator-doctrine,8977,2,5,no,provisional_chunked
88lawswinters,The 88 Laws Of The Masculine Mindset · John Winters,John Winters,operator-doctrine,20025,3,9,no,provisional_chunked
aichangedeverything,AI Changed Everything,SNIPED (operator-authored),ai-tooling,14120,3,4,no,provisional_chunked
thelittledictionaryoffashiondior,The Little Dictionary of Fashion,Christian Dior,taste,18733,3,2,no,provisional_chunked
coursework1thru2,AI Edge Course Work 1-2,The AI Edge,strategy,26754,4,6,no,provisional_chunked
barthescameralucida,Camera Lucida: Reflections on Photography,Roland Barthes,photography-theory,23912,4,10,no,provisional_chunked
maisellightgesturecolor,"Light, Gesture, and Color",Jay Maisel,aesthetics,21469,4,8,no,provisional_chunked
thebrandgapneumeier,The Brand Gap,Marty Neumeier,brand,22630,4,4,no,provisional_chunked
hellomynameisawesomewatkins,"Hello, My Name Is Awesome",Alexandra Watkins,brand-psychology,23925,4,2,no,provisional_chunked
suprememodelsreynolds,Supreme Models: Iconic Black Women Who Revolutionized Fashio,Marcellas Reynolds,culture,29843,5,3,no,provisional_chunked
tribesgodin,Tribes: We Need You to Lead Us,Seth Godin,brand-psychology,31472,5,3,no,provisional_chunked
animalfarmorwell,Animal Farm · George Orwell,George Orwell,systems-thinking,30035,5,5,no,provisional_chunked
purplecowgodin,Purple Cow (2003),Seth Godin,brand,34102,6,3,no,provisional_chunked
builttosellwarrillow,Built to Sell,John Warrillow,commercial-architecture,38682,6,3,no,provisional_chunked
bravenewworldrevisitedhuxley,Brave New World Revisited · Aldous Huxley (nonfiction essays,Aldous Huxley,systems-thinking,34610,6,7,no,provisional_chunked
geminisnipedmasterthread,Gemini SNIPED Master Thread,BJ / SNIPED Media (via Gemini ,decision-archaeology,37131,6,7,no,provisional_chunked
thechoicefactoryshotton,The Choice Factory (2018),Richard Shotton,brand-psychology,46653,7,4,no,provisional_chunked
zerotoonethiel,Zero to One,Peter Thiel + Blake Masters,strategy,45590,7,11,no,provisional_chunked
themckinseywayrasiel,The McKinsey Way,Ethan M. Rasiel,mental-models,42414,7,2,no,provisional_chunked
brandnamingmeyerson,Brand Naming,Rob Meyerson,brand,43009,7,2,no,provisional_chunked
theintelligentinvestorgraham,The Intelligent Investor,Benjamin Graham,finance,45067,7,3,no,provisional_chunked
theboronlettershalbert,The Boron Letters,Gary Halbert,strategy,43043,7,4,no,provisional_chunked
buildingastorybrandmiller,Building a StoryBrand (2017),Donald Miller,copywriting,50907,8,4,no,provisional_chunked
slaughterhousefivevonnegut,Slaughterhouse-Five · Kurt Vonnegut,Kurt Vonnegut,ethics,49544,8,5,no,provisional_chunked
bluesteyemorrison,The Bluest Eye · Toni Morrison,Toni Morrison,culture,53600,8,9,no,provisional_chunked
mjmoonwalk,Moonwalk · Michael Jackson,Michael Jackson (with Robert H,operator-doctrine,53204,8,7,no,provisional_chunked
psychologyofmoneyhousel,The Psychology of Money,Morgan Housel,capital,52730,8,3,no,provisional_chunked
gettingnakedlencioni,Getting Naked,Patrick Lencioni,ethics,47421,8,2,no,provisional_chunked
manssearchformeaningfrankl,Man's Search for Meaning,Viktor E. Frankl,decision-making,47250,8,5,no,provisional_chunked
gamespeopleplayberne,Games People Play,Eric Berne,operator-process,50273,8,4,no,provisional_chunked
thecreativeactrubin,The Creative Act,Rick Rubin,aesthetics,47357,8,3,no,provisional_chunked
ampitupslootman,Amp It Up,Frank Slootman,operator-doctrine,49597,8,5,no,provisional_chunked
truebelieverhoffer,The True Believer,Eric Hoffer,culture,48694,8,3,no,provisional_chunked
thisismarketinggodin,This Is Marketing (2018),Seth Godin,positioning,57131,9,4,no,provisional_chunked
cointelligencemollick,Co-Intelligence (2024),Ethan Mollick,ai-tooling,58122,9,9,no,provisional_chunked
artofwarsuntzu,The Art of War,Sun Tzu (tr. Lionel Giles),strategy,54488,9,9,no,provisional_chunked
empirestateofmindgreenburg,Empire State of Mind: How Jay-Z Went from Street Corner to C,Zack O'Malley Greenburg,strategy,58061,9,5,no,provisional_chunked
theadvantagelencioni,The Advantage,Patrick Lencioni,culture,58648,9,2,no,provisional_chunked
identitydesignedairey,Identity Designed,David Airey,aesthetics,55889,9,3,no,provisional_chunked
thechecklistmanifestogawande,The Checklist Manifesto,Atul Gawande,operator-process,56799,9,2,no,provisional_chunked
usingaixgumroaddigitalproducts,Using AI x Gumroad x Digital Products,SNIPED (operator-authored),strategy,55649,9,3,no,provisional_chunked
savethecatsnyder,Save the Cat!,Blake Snyder,brand,59787,9,3,no,provisional_chunked
thecrowdlebon,The Crowd,Gustave Le Bon,decision-making,56662,9,2,no,provisional_chunked
cashvertisingwhitman,Cashvertising (2009),Drew Eric Whitman,brand-psychology,63572,10,4,no,provisional_chunked
differentiateordietrout,Differentiate or Die (2008),"Jack Trout, Steve Rivkin",positioning,64749,10,5,no,provisional_chunked
humanplusmachinedaugherty,Human + Machine (2018),"Paul R. Daugherty, H. James Wi",operator-process,61250,10,7,no,provisional_chunked
dayrobertfrankstheamericans,Robert Frank's 'The Americans': The Art of Documentary Photo,Jonathan Day,documentary,66502,10,10,no,provisional_chunked
themostimportantthingmarks,The Most Important Thing,Howard Marks,systems-thinking,65219,10,4,no,provisional_chunked
newruleskelly,New Rules for the New Economy,Kevin Kelly,network-effects,61078,10,3,no,provisional_chunked
emythrevisitedgerber,The E-Myth Revisited,Michael E. Gerber,operator-doctrine,66283,10,3,no,provisional_chunked
dvvreeland,D.V.,Diana Vreeland,aesthetics,65693,10,5,no,provisional_chunked
theculturecodecoyle,The Culture Code,Daniel Coyle,culture,63281,10,2,no,provisional_chunked
turntheshiparoundmarquet,Turn the Ship Around!,L. David Marquet,operator-doctrine,65697,10,2,no,provisional_chunked
claudecoworkgenius,Claude Cowork Genius (walkthrough),SNIPED (operator-authored · tr,ai-tooling,66376,10,4,no,provisional_chunked
visualstoryblock,The Visual Story,Bruce Block,aesthetics,61118,10,3,no,provisional_chunked
theireyeshurston,Their Eyes Were Watching God · Zora Neale Hurston,Zora Neale Hurston,lineage,71033,11,9,no,provisional_chunked
hurricanesrickross,Hurricanes: A Memoir (2019),"Rick Ross, Neil Martinez-Belki",brand,69362,11,6,no,provisional_chunked
diorbydiordior,Dior by Dior,Christian Dior,operator-doctrine,73252,11,4,no,provisional_chunked
grindingitoutkroc,Grinding It Out,Ray Kroc,founder-psychology,70620,11,3,no,provisional_chunked
chatsnipedmasterthread,Chat SNIPED Master Thread,BJ / SNIPED Media (via ChatGPT,decision-archaeology,69537,11,8,no,provisional_chunked
measurewhatmattersdoerr,Measure What Matters,John Doerr,operator-process,71642,11,2,no,provisional_chunked
highoutputmanagementgrove,High Output Management,Andrew S. Grove,operator-process,68084,11,3,no,provisional_chunked
marginofsafetyklarman,Margin of Safety: Risk-Averse Value Investing Strategies for,Seth A. Klarman,capital,72828,11,4,no,provisional_chunked
predictionmachinesagrawal,Prediction Machines (2018),"Ajay Agrawal, Joshua Gans, Avi",strategy,75514,12,9,no,provisional_chunked
stoutepowerhousetalk,Powerhouse Talk · Silicon Valley,Steve Stoute,brand,76128,12,8,no,provisional_chunked
autobiographyofguccimane,The Autobiography of Gucci Mane (2017),"Gucci Mane, Neil Martinez-Belk",operator-doctrine,78858,12,6,no,provisional_chunked
longtailanderson,The Long Tail,Chris Anderson,distribution,75305,12,4,no,provisional_chunked
freeanderson,Free: The Future of a Radical Price,Chris Anderson,commercial-architecture,74656,12,3,no,provisional_chunked
reengineeringhammerchampy,Reengineering the Corporation,Michael Hammer and James Champ,operator-process,79110,12,3,no,provisional_chunked
engelsmacedonianlogistics,Alexander the Great and the Logistics of the Macedonian Army,Donald W. Engels,operator-process,75417,12,3,no,provisional_chunked
talentisoverratedcolvin,Talent Is Overrated,Geoff Colvin,operator-doctrine,74216,12,2,no,provisional_chunked
hardthinghorowitz,The Hard Thing About Hard Things,Ben Horowitz,leadership,78703,12,5,no,provisional_chunked
thenewtycoonskelly,The New Tycoons: Inside the Trillion Dollar Private Equity I,Jason Kelly,commercial-architecture,80069,12,3,no,provisional_chunked
automatethissteiner,Automate This (2012),Christopher Steiner,systems-thinking,84148,13,7,no,provisional_chunked
powerandpredictionagrawal,Power and Prediction (2022),"Ajay Agrawal, Joshua Gans, Avi",strategy,85838,13,7,no,provisional_chunked
readwriteowndixon,Read Write Own (2024),Chris Dixon,systems-thinking,82649,13,7,no,provisional_chunked
competingintheageofaiiansiti,Competing in the Age of AI (2020),"Karim R. Lakhani, Marco Iansit",commercial-architecture,80880,13,8,no,provisional_chunked
rideofalifetimeiger,The Ride of a Lifetime,Robert Iger (with Joel Lovell),leadership,86378,13,9,no,provisional_chunked
innovatorsdilemmachristensen,The Innovator's Dilemma,Clayton M. Christensen,strategy,80876,13,4,no,provisional_chunked
graceamemoircoddington,Grace: A Memoir,Grace Coddington,aesthetics,82007,13,7,no,provisional_chunked
neversplitthedifferencevoss,Never Split the Difference,Chris Voss & Tahl Raz,sales-flow,82437,13,4,no,provisional_chunked
playbiggerramadanlochhead,Play Bigger,"Al Ramadan, Dave Peterson, Chr",systems-thinking,81161,13,6,no,provisional_chunked
competingagainstluckchristensen,Competing Against Luck,"Clayton M. Christensen, Karen ",strategy,83793,13,5,no,provisional_chunked
valuebasedfeesweiss,Value-Based Fees,Alan Weiss,commercial-architecture,81605,13,2,no,provisional_chunked
extremeownershipwillinkbabin,Extreme Ownership,Jocko Willink and Leif Babin,leadership,84758,13,2,no,provisional_chunked
leanstartupries,The Lean Startup,Eric Ries,operator-doctrine,84808,13,5,no,provisional_chunked
masteringthemarketcyclemarks,Mastering the Market Cycle: Getting the Odds on Your Side,Howard Marks,systems-thinking,83674,13,3,no,provisional_chunked
blitzscalinghoffmanyeh,Blitzscaling,Reid Hoffman and Chris Yeh,operator-doctrine,86784,13,6,no,provisional_chunked
madetostickheath,Made to Stick (2007),"Chip Heath, Dan Heath",content-strategy,91273,14,4,no,provisional_chunked
thesecondmachineagebrynjolfsson,The Second Machine Age (2014),"Erik Brynjolfsson, Andrew McAf",strategy,87231,14,7,no,provisional_chunked
thechiffontrenchestalley,The Chiffon Trenches,Andre Leon Talley,taste,87847,14,3,no,provisional_chunked
teamofrivalsgoodwin,Team of Rivals,Doris Kearns Goodwin,founder-psychology,90717,14,1,no,provisional_chunked
radicalcandorscott,Radical Candor,Kim Scott,leadership,93384,14,2,no,provisional_chunked
alchemysutherland,Alchemy (2019),Rory Sutherland,brand-psychology,94620,15,4,no,provisional_chunked
onlyhumansneedapplydavenport,Only Humans Need Apply (2016),"Thomas H. Davenport, Julia Kir",operator-process,97529,15,9,no,provisional_chunked
workingbackwardsbryarcarr,Working Backwards,Colin Bryar + Bill Carr,systems,97956,15,8,no,provisional_chunked
handmaidstaleatwood,The Handmaid's Tale · Margaret Atwood,Margaret Atwood,systems-thinking,97147,15,5,no,provisional_chunked
thedichotomyofleadershipwillinkbabin,The Dichotomy of Leadership,Jocko Willink and Leif Babin,leadership,96028,15,1,no,provisional_chunked
designingbrandidentitywheeler,Designing Brand Identity,Alina Wheeler and Rob Meyerson,commercial-architecture,97191,15,4,no,provisional_chunked
thefishthatatethewhalecohen,The Fish That Ate the Whale,Rich Cohen,operator-process,94096,15,2,no,provisional_chunked
theendoffashionagins,The End of Fashion,Teri Agins,culture,100393,15,3,no,provisional_chunked
belovedmorrison,Beloved,Toni Morrison,culture,97915,15,9,no,provisional_chunked
heywhipplesqueezethissullivan,"Hey, Whipple, Squeeze This (2008)",Luke Sullivan,copywriting,101154,16,4,no,provisional_chunked
copywritershandbookbly,The Copywriter's Handbook (2006),Robert W. Bly,copywriting,106829,16,4,no,provisional_chunked
coldstartproblemchen,The Cold Start Problem,Andrew Chen,network-effects,104551,16,5,no,provisional_chunked
songmachineseabrook,The Song Machine,John Seabrook,distribution,105706,16,3,no,provisional_chunked
decodedjayz,Decoded (2010),Jay-Z,lineage,104537,16,7,no,provisional_chunked
thatwillneverworkrandolph,That Will Never Work,Marc Randolph,strategy,102037,16,4,no,provisional_chunked
flawlessconsultingblock,Flawless Consulting,Peter Block,operator-process,107028,16,2,no,provisional_chunked
lolitanabokov,Lolita · Vladimir Nabokov,Vladimir Nabokov,aesthetics,111150,17,6,no,provisional_chunked
creativityinccatmull,"Creativity, Inc.",Ed Catmull (with Amy Wallace),leadership,110498,17,8,no,provisional_chunked
theinevitablekelly,The Inevitable,Kevin Kelly,distribution,108050,17,5,no,provisional_chunked
pouryourheartintoitschultz,Pour Your Heart Into It,Howard Schultz & Dori Jones Ya,brand,107337,17,2,no,provisional_chunked
peakericssonpool,Peak,Anders Ericsson and Robert Poo,operator-doctrine,110138,17,4,no,provisional_chunked
theadweekcopywritinghandbooksugarman,The Adweek Copywriting Handbook,Joseph Sugarman,copywriting,107745,17,5,no,provisional_chunked
thekiterunnerhosseini,The Kite Runner · Khaled Hosseini,Khaled Hosseini,culture,115758,18,5,no,provisional_chunked
life30tegmark,Life 3.0 (2017),Max Tegmark,ethics,118085,18,8,no,provisional_chunked
thecomingwavesuleyman,The Coming Wave (2023),"Mustafa Suleyman, Michael Bhas",systems-thinking,116084,18,9,no,provisional_chunked
everythingstorebezosstone,The Everything Store,Brad Stone,strategy,118419,18,10,no,provisional_chunked
tanningofamericastoute,The Tanning of America,Steve Stoute,brand,115133,18,7,no,provisional_chunked
onwarclausewitz,On War,Carl von Clausewitz,strategy,115527,18,5,no,provisional_chunked
nofilterinstagramfrier,No Filter,Sarah Frier,aesthetics,115806,18,4,no,provisional_chunked
onwardschultz,Onward: How Starbucks Fought for Its Life without Losing Its,"Howard Schultz, Joanne Gordon",founder-psychology,117893,18,12,no,provisional_chunked
deluxethomas,Deluxe,Dana Thomas,status,117693,18,4,no,provisional_chunked
coddlinglukianoffhaidt,The Coddling of the American Mind,Greg Lukianoff and Jonathan Ha,decision-making,119516,18,4,no,provisional_chunked
thenetworkstatesrinivasan,The Network State,Balaji Srinivasan,systems-thinking,121745,19,7,no,provisional_chunked
eatingthebigfishmorgan,Eating the Big Fish,Adam Morgan,positioning,125574,19,4,no,provisional_chunked
understandingmediamcluhan,Understanding Media,Marshall McLuhan,culture,121372,19,3,no,provisional_chunked
superpumpeduberisaac,Super Pumped,Mike Isaac,strategy,125963,19,3,no,provisional_chunked
thelordsofeasymoneyleonard,The Lords of Easy Money: How the Federal Reserve Broke the A,Christopher Leonard,systems-thinking,123219,19,3,no,provisional_chunked
anatomyofstorytruby,The Anatomy of Story,John Truby,operator-doctrine,126225,19,5,no,provisional_chunked
theluxurystrategykapferer,The Luxury Strategy,Jean-Noel Kapferer and Vincent,status,125784,19,6,no,provisional_chunked
genghiskhanweatherford,Genghis Khan and the Making of the Modern World,Jack Weatherford,empire-building,133719,20,5,no,provisional_chunked
kingofcapitalblackstone,King of Capital,David Carey & John E. Morris,capital,127983,20,3,no,provisional_chunked
arriancampaignsofalexander,The Campaigns of Alexander,Arrian,strategy,132066,20,4,no,provisional_chunked
noisekahnemansibonysunstein,Noise: A Flaw in Human Judgment,"Daniel Kahneman, Olivier Sibon",operator-process,133394,20,4,no,provisional_chunked
thestatusgamestorr,The Status Game (2021),Will Storr,status,129204,20,8,no,provisional_chunked
theprincemachiavelli,The Prince,Niccolo Machiavelli,power,140507,21,4,no,provisional_chunked
madeinjapanmorita,Made in Japan,Akio Morita,strategy,135753,21,3,no,provisional_chunked
aiafterramon,AI After Ramon (founder walkthrough),SNIPED (operator-authored · tr,strategy,137066,21,5,no,provisional_chunked
righteousmindhaidt,The Righteous Mind,Jonathan Haidt,operator-doctrine,137786,21,5,no,provisional_chunked
thegoalgoldratt,The Goal,Eliyahu M. Goldratt,operator-doctrine,143658,22,5,no,provisional_chunked
discoursesonlivymachiavelli,Discourses on Livy,Niccolo Machiavelli,power,143936,22,12,no,provisional_chunked
milliondollarconsultingweiss,Million Dollar Consulting,Alan Weiss,operator-doctrine,143350,22,3,no,provisional_chunked
thefifthdisciplinesenge,The Fifth Discipline,Peter M. Senge,systems-thinking,142790,22,3,no,provisional_chunked
foundersdilemmaswasserman,The Founder's Dilemmas,Noam Wasserman,founder-psychology,145096,22,5,no,provisional_chunked
herowithathousandfacescampbell,The Hero with a Thousand Faces,Joseph Campbell,culture,142097,22,4,no,provisional_chunked
hitmendannen,Hit Men: Power Brokers and Fast Money Inside the Music Busin,Fredric Dannen,media-business,152952,23,8,no,provisional_chunked
statusandculturemarx,Status and Culture (2022),W. David Marx,culture,153405,23,8,no,provisional_chunked
meditationsmarcusaurelius,Meditations,Marcus Aurelius,mindset,154648,24,5,no,provisional_chunked
thesovereignindividualdavidson,The Sovereign Individual,"James Dale Davidson, William R",systems-thinking,160083,24,3,no,provisional_chunked
dillatimecharnas,Dilla Time: The Life and Afterlife of J Dilla (2022),Dan Charnas,aesthetics,161146,25,8,no,provisional_chunked
themailroomrensin,The Mailroom: Hollywood History from the Bottom Up,David Rensin,operator-doctrine,169850,26,7,no,provisional_chunked
thebeautifulfalldrake,The Beautiful Fall,Alicia Drake,aesthetics,169922,26,4,no,provisional_chunked
landmarkcaesar,The Landmark Julius Caesar (Web Essays),Robert B. Strassler (ed.),leadership,187008,28,4,no,provisional_chunked
losingmyvirginitybranson,Losing My Virginity,Richard Branson,brand,181881,28,3,no,provisional_chunked
thinkingfastandslowkahneman,"Thinking, Fast and Slow",Daniel Kahneman,decision-making,190774,29,8,no,provisional_chunked
youtubeskooldoc,YouTube / Skool Doc,SNIPED (operator-authored),operator-process,196895,30,6,no,provisional_chunked
thepowerlawmallaby,The Power Law,Sebastian Mallaby,capital,198120,30,3,no,provisional_chunked
leadershipinturbulenttimesgoodwin,Leadership in Turbulent Times,Doris Kearns Goodwin,leadership,195517,30,1,no,provisional_chunked
livefromnewyorksnl,Live From New York,Tom Shales & James Andrew Mill,founder-psychology,234078,35,5,no,provisional_chunked
disneywarstewart,DisneyWar,James B. Stewart,leadership,235587,36,3,no,provisional_chunked
totalrecallschwarzenegger,Total Recall: My Unbelievably True Life Story,Arnold Schwarzenegger,founder-psychology,242002,37,9,no,provisional_chunked
thebigpaybackcharnas,The Big Payback: The History of the Business of Hip-Hop (201,Dan Charnas,culture,254450,38,10,no,provisional_chunked
colorpurplecollectionwalker,The Color Purple · Alice Walker,Alice Walker,culture,257368,39,10,no,provisional_chunked
ulyssesjoyce,Ulysses · James Joyce,James Joyce,aesthetics,291503,44,7,no,provisional_chunked
thoseguysespn,Those Guys Have All the Fun,James Andrew Miller & Tom Shal,media-business,308249,47,6,no,provisional_chunked
securityanalysisgrahamdodd,Security Analysis: Sixth Edition,"Benjamin Graham, David Dodd",finance,391811,59,5,no,provisional_chunked
tinderboxhbo,Tinderbox,James Andrew Miller,strategy,426623,64,6,no,provisional_chunked
washingtonalifechernow,Washington: A Life,Ron Chernow,power,434269,65,8,no,provisional_chunked
grantchernow,Grant,Ron Chernow,operator-doctrine,477787,72,8,no,provisional_chunked
highlevelconvos,High Level Convos: Earn Your Leisure · Malka/OWN creator-equ,Jeff Fromer (Earn Your Leisure,capital,684626,103,25,no,provisional_chunked
