slug,title,author,domain,words,segments,chunks,cited_by_doctrine,status
studyrobertfrank,Study: Robert Frank,BJ / SNIPED Media,art-series,2941,1,4,no,provisional_chunked
studyjoelmeyerowitz,Study: Joel Meyerowitz,BJ / SNIPED Media,art-series,2052,1,4,no,provisional_chunked
studygracielaiturbide,Study: Graciela Iturbide,BJ / SNIPED Media,art-series,3904,1,4,no,provisional_chunked
studyernsthaas,Study: Ernst Haas,BJ / SNIPED Media,art-series,4013,1,4,no,provisional_chunked
talbotherzogmoderncolor,Fred Herzog: Modern Color (journal review),Jacques P. Talbot,color,1813,1,2,no,provisional_chunked
artbook1994robertfrankamericans,The Americans (review · Art Book 1994),Art Book journal · unsigned,documentary,1218,1,2,no,provisional_chunked
moneywealthgettingahead,"Money, Wealth & Getting Ahead",SNIPED (synthesis),capital,1687,1,4,no,provisional_chunked
greatonlinegamemccormick,The Great Online Game,Packy McCormick,status,4343,1,1,no,provisional_chunked
aestheticstatementv1,Aesthetic Statement v1,BJ / SNIPED Media,aesthetic-doctrine,651,1,6,no,provisional_chunked
icpdefinitionworksheet,ICP Definition Worksheet,The AI Edge (course worksheet),strategy,2614,1,4,no,provisional_chunked
settinggoals,Setting Goals,The AI Edge (course worksheet),operator-process,1264,1,3,no,provisional_chunked
weeklyreflections,Weekly Reflections,The AI Edge (course worksheet),operator-process,1399,1,4,no,provisional_chunked
skillsskillbuildqueue,SKILL_BUILD_QUEUE,BJ / SNIPED Media,meta-doctrine,1261,1,1,no,provisional_chunked
skillssnipedcanonicaltruths,sniped-canonical-truths,BJ / SNIPED Media,operator-doctrine,166,1,1,no,provisional_chunked
skillssnipeddirectionstack,sniped-direction-stack,BJ / SNIPED Media,operator-doctrine,272,1,1,no,provisional_chunked
skillssnipedexecutionprioritization,sniped-execution-prioritization,BJ / SNIPED Media,operator-process,163,1,1,no,provisional_chunked
skillssnipedmondaycockpit,sniped-monday-cockpit,BJ / SNIPED Media,operator-process,204,1,1,no,provisional_chunked
skillssnipedleanaudit,sniped-lean-audit,BJ / SNIPED Media,operator-process,181,1,1,no,provisional_chunked
skillssnipedreverseroadmap,sniped-reverse-roadmap,BJ / SNIPED Media,operator-doctrine,161,1,1,no,provisional_chunked
skillssnipedstrategicimplications,sniped-strategic-implications,BJ / SNIPED Media,strategy,335,1,1,no,provisional_chunked
skillssnipedpartnershipprotocol,sniped-partnership-protocol,BJ / SNIPED Media,operator-doctrine,167,1,1,no,provisional_chunked
skillssnipedassistanttaskrouting,sniped-assistant-task-routing,BJ / SNIPED Media,operator-process,279,1,1,no,provisional_chunked
skillssnipedpreshootprep,sniped-pre-shoot-prep,BJ / SNIPED Media,production-sop,232,1,1,no,provisional_chunked
skillssnipedshootdayreset,sniped-shoot-day-reset,BJ / SNIPED Media,production-sop,316,1,1,no,provisional_chunked
skillssnipedshootdaystrategicfree,sniped-shoot-day-strategic-free,BJ / SNIPED Media,production-sop,287,1,1,no,provisional_chunked
skillssnipedpostshootsameday,sniped-post-shoot-same-day,BJ / SNIPED Media,production-sop,286,1,1,no,provisional_chunked
skillssnipedcapturetodelivery,sniped-capture-to-delivery,BJ / SNIPED Media,production-sop,291,1,1,no,provisional_chunked
